"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs11257188-<b>?</b>,"9 x 10-6",,NR,2.19,'-,[NR],PFKFB3,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,10:6195193
rs479825-<b>?</b>,"6 x 10-6",,NR,1.64,'-,[NR],MAML2,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,11:96198321
rs2856830-<b>C</b>,"8 x 10-20",,0.12,1.56,'-,[1.42-1.71],HLA-DPA1,"Pulmonary arterial hypertension","pulmonary arterial hypertension",GCST007228,6:33073957
rs13266183-<b>C</b>,"2 x 10-12",,0.73,1.36,'-,[1.25-1.48],AC027250.1,"Pulmonary arterial hypertension","pulmonary arterial hypertension",GCST007228,8:54355052
rs10103692-<b>G</b>,"5 x 10-15",,0.9,1.8,'-,[1.55-2.08],"RNU105C, AC027250.1","Pulmonary arterial hypertension","pulmonary arterial hypertension",GCST007228,8:54345567
rs1327235-<b>?</b>,"3 x 10-12",,NR,'-,"0.0426419 unit decrease",NR,AL050403.2,Hypertension,hypertension,GCST009685,20:10988382
rs16982520-<b>?</b>,"6 x 10-15",,NR,'-,"0.0736275 unit decrease",NR,ZNF831,Hypertension,hypertension,GCST009685,20:59183665
rs56352102-<b>?</b>,"3 x 10-12",,NR,'-,"0.0550159 unit decrease",NR,SBF2,Hypertension,hypertension,GCST009685,11:10247046
rs17367504-<b>?</b>,"4 x 10-34",,NR,'-,"0.1006982 unit increase",NR,MTHFR,Hypertension,hypertension,GCST009685,1:11802721
rs34550591-<b>?</b>,"2 x 10-11",,NR,'-,"0.09427968 unit increase",NR,AL021155.4,Hypertension,hypertension,GCST009685,1:11913466
rs2293579-<b>?</b>,"5 x 10-13",,NR,'-,"0.0453465 unit decrease",NR,PSMC3,Hypertension,hypertension,GCST009685,11:47419207
rs2675149-<b>?</b>,"2 x 10-12",,NR,'-,"0.04366255 unit increase",NR,AC016766.1,Hypertension,hypertension,GCST009685,2:164093946
rs1898841-<b>?</b>,"1 x 10-16",,NR,'-,"0.05697489 unit increase",NR,"AC016766.1, PRPS1P1",Hypertension,hypertension,GCST009685,2:164213697
rs16998073-<b>?</b>,"2 x 10-30",,NR,'-,"0.0773208 unit decrease",NR,"PRDM8, FGF5",Hypertension,hypertension,GCST009685,4:80263187
rs34592089-<b>?</b>,"1 x 10-9",,NR,'-,"0.07719143 unit increase",NR,"BANK1, AP002075.1",Hypertension,hypertension,GCST009685,4:102005766
rs7924431-<b>?</b>,"7 x 10-9",,NR,'-,"0.05045032 unit increase",NR,"FOLH1, AC118942.1",Hypertension,hypertension,GCST009685,11:49245594
rs4690974-<b>?</b>,"2 x 10-9",,NR,'-,"0.0365988 unit decrease",NR,"AC107208.1, MTND1P22",Hypertension,hypertension,GCST009685,4:155472489
rs10895001-<b>?</b>,"5 x 10-22",,NR,'-,"0.06575096 unit increase",NR,"PPIAP43, RN7SL222P",Hypertension,hypertension,GCST009685,11:100662290
rs1173727-<b>?</b>,"4 x 10-24",,NR,'-,"0.0632106 unit increase",NR,"AC025459.1, NPR3",Hypertension,hypertension,GCST009685,5:32830415
rs2524095-<b>?</b>,"1 x 10-9",,NR,'-,"0.03838402 unit increase",NR,"HLA-B, LINC02571",Hypertension,hypertension,GCST009685,6:31298340
rs2596473-<b>?</b>,"8 x 10-10",,NR,'-,"0.0382034 unit decrease",NR,"AL645933.5, AL645933.2",Hypertension,hypertension,GCST009685,6:31463022
rs805293-<b>?</b>,"3 x 10-12",,NR,'-,"0.0433015 unit decrease",NR,"LY6G6C, MPIG6B",Hypertension,hypertension,GCST009685,6:31720741
rs6495127-<b>?</b>,"6 x 10-10",,NR,'-,"0.0419321 unit decrease",NR,"FAM219B, MPI",Hypertension,hypertension,GCST009685,15:74902149
rs7497304-<b>?</b>,"2 x 10-18",,NR,'-,"0.0572501 unit decrease",NR,FES,Hypertension,hypertension,GCST009685,15:90885946
rs4888372-<b>?</b>,"5 x 10-9",,NR,'-,"0.03632925 unit increase",NR,"RNU6-758P, BCAR1",Hypertension,hypertension,GCST009685,16:75279587
rs12258967-<b>?</b>,"1 x 10-21",,NR,'-,"0.06391272 unit increase",NR,CACNB2,Hypertension,hypertension,GCST009685,10:18439030
rs1530440-<b>?</b>,"3 x 10-12",,NR,'-,"0.05447183 unit increase",NR,CABCOCO1,Hypertension,hypertension,GCST009685,10:61764833
rs2274224-<b>?</b>,"5 x 10-14",,NR,'-,"0.04650402 unit increase",NR,"PLCE1, PLCE1-AS1",Hypertension,hypertension,GCST009685,10:94279840
rs34328549-<b>?</b>,"5 x 10-15",,NR,'-,"0.07281571 unit increase",NR,INSR,Hypertension,hypertension,GCST009685,19:7253173
rs12413409-<b>?</b>,"1 x 10-17",,NR,'-,"0.09777913 unit increase",NR,CNNM2,Hypertension,hypertension,GCST009685,10:102959339
rs11191580-<b>?</b>,"3 x 10-20",,NR,'-,"0.10523462 unit increase",NR,NT5C2,Hypertension,hypertension,GCST009685,10:103146454
rs2493292-<b>?</b>,"2 x 10-9",,NR,'-,"0.0535559 unit decrease",NR,PRDM16,Hypertension,hypertension,GCST009685,1:3412095
rs1580004-<b>?</b>,"2 x 10-10",,NR,'-,"0.03915954 unit increase",NR,AMPD3,Hypertension,hypertension,GCST009685,11:10348873
rs11039149-<b>?</b>,"8 x 10-12",,NR,'-,"0.0468791 unit decrease",NR,NR1H3,Hypertension,hypertension,GCST009685,11:47255124
rs2586886-<b>?</b>,"4 x 10-9",,NR,'-,"0.037121 unit decrease",NR,KCNK3,Hypertension,hypertension,GCST009685,2:26709163
rs7120548-<b>?</b>,"2 x 10-11",,NR,'-,"0.0448821 unit decrease",NR,MTCH2,Hypertension,hypertension,GCST009685,11:47641380
rs1872167-<b>?</b>,"9 x 10-10",,NR,'-,"0.05387594 unit increase",NR,"AC023232.1, NUP160",Hypertension,hypertension,GCST009685,11:47879717
rs3942852-<b>?</b>,"2 x 10-9",,NR,'-,"0.04496659 unit increase",NR,PTPRJ,Hypertension,hypertension,GCST009685,11:48093537
rs16905753-<b>?</b>,"7 x 10-9",,NR,'-,"0.05041853 unit increase",NR,OR4X1,Hypertension,hypertension,GCST009685,11:48264354
rs13107325-<b>?</b>,"5 x 10-12",,NR,'-,"0.07963385 unit increase",NR,SLC39A8,Hypertension,hypertension,GCST009685,4:102267552
rs5016282-<b>?</b>,"3 x 10-9",,NR,'-,"0.05169951 unit increase",NR,GRM5,Hypertension,hypertension,GCST009685,11:89008492
rs7715779-<b>?</b>,"1 x 10-18",,NR,'-,"0.05606038 unit increase",NR,NPR3,Hypertension,hypertension,GCST009685,5:32690093
rs35473622-<b>?</b>,"6 x 10-16",,NR,'-,"0.05736285 unit increase",NR,ARHGAP42,Hypertension,hypertension,GCST009685,11:100821835
rs2681492-<b>?</b>,"2 x 10-15",,NR,'-,"0.06472751 unit increase",NR,ATP2B1,Hypertension,hypertension,GCST009685,12:89619312
rs10849937-<b>?</b>,"7 x 10-12",,NR,'-,"0.05191228 unit increase",NR,"CUX2, PHETA1",Hypertension,hypertension,GCST009685,12:111354623
rs10774625-<b>?</b>,"2 x 10-13",,NR,'-,"0.0449492 unit decrease",NR,ATXN2,Hypertension,hypertension,GCST009685,12:111472415
rs35085068-<b>?</b>,"4 x 10-9",,NR,'-,"0.036399 unit decrease",NR,AL132780.1,Hypertension,hypertension,GCST009685,14:22940700
rs8036030-<b>?</b>,"8 x 10-11",,NR,'-,"0.041086 unit decrease",NR,SEMA7A,Hypertension,hypertension,GCST009685,15:74424268
rs936226-<b>?</b>,"9 x 10-15",,NR,'-,"0.0544424 unit decrease",NR,"CSK, CYP1A2",Hypertension,hypertension,GCST009685,15:74776941
rs3130482-<b>?</b>,"1 x 10-10",,NR,'-,"0.03993774 unit increase",NR,SLC44A4,Hypertension,hypertension,GCST009685,6:31872005
rs11754682-<b>?</b>,"3 x 10-15",,NR,'-,"0.04883 unit decrease",NR,AL356534.1,Hypertension,hypertension,GCST009685,6:126856574
rs6461992-<b>?</b>,"7 x 10-9",,NR,'-,"0.06762078 unit increase",NR,HOXA11,Hypertension,hypertension,GCST009685,7:27181212
rs2392929-<b>?</b>,"2 x 10-17",,NR,'-,"0.0652155 unit decrease",NR,"AC004917.1, LINC02577",Hypertension,hypertension,GCST009685,7:106773623
rs3744760-<b>?</b>,"1 x 10-18",,NR,'-,"0.0609742 unit decrease",NR,PLCD3,Hypertension,hypertension,GCST009685,17:45118614
rs117470167-<b>?</b>,"2 x 10-9",,NR,'-,"0.09233599 unit increase",NR,"HOXB3, HOXB-AS3",Hypertension,hypertension,GCST009685,17:48589121
rs1004467-<b>?</b>,"4 x 10-16",,NR,'-,"0.08905793 unit increase",NR,CYP17A1,Hypertension,hypertension,GCST009685,10:102834750
rs167479-<b>?</b>,"8 x 10-16",,NR,'-,"0.04913276 unit increase",NR,RGL3,Hypertension,hypertension,GCST009685,19:11416089
rs403814-<b>A</b>,"6 x 10-9",,NR,1.15,'-,[1.07-1.23],L3MBTL4,Hypertension,hypertension,GCST003613,18:6282594
rs7554672-<b>?</b>,"2 x 10-6",,0.589,1.21,'-,'-,"AL445466.1, HLX",Hypertension,hypertension,GCST004143,1:221099816
rs3800688-<b>G</b>,"4 x 10-6",,0.479,1.197,'-,'-,PODXL,Hypertension,hypertension,GCST004143,7:131507716
rs11105368-<b>?</b>,"2 x 10-7",,0.624,1.23,'-,'-,ATP2B1,Hypertension,hypertension,GCST004143,12:89680664
rs16998073-<b>T</b>,"8 x 10-25",,0.47,1.29,'-,[1.23-1.35],"PRDM8, FGF5",Hypertension,hypertension,GCST011141,4:80263187
rs1458038-<b>T</b>,"3 x 10-22",,0.39,1.26,'-,[1.21-1.33],"FGF5, PRDM8",Hypertension,hypertension,GCST011141,4:80243569
rs77768175-<b>G</b>,"6 x 10-16",,0.3722,0.77,'-,[0.72-0.82],HECTD4,Hypertension,hypertension,GCST011141,12:112298314
rs671-<b>A</b>,"2 x 10-15",,0.33,0.77,'-,[0.72-0.82],ALDH2,Hypertension,hypertension,GCST011141,12:111803962
rs11066280-<b>A</b>,"3 x 10-14",,0.2,0.78,'-,[0.74-0.84],HECTD4,Hypertension,hypertension,GCST011141,12:112379979
rs2074356-<b>A</b>,"3 x 10-13",,0.32,0.78,'-,[0.73-0.83],HECTD4,Hypertension,hypertension,GCST011141,12:112207597
rs36034102-<b>T</b>,"3 x 10-12",,0.35,1.22,'-,[1.15-1.29],FGF5,Hypertension,hypertension,GCST011141,4:80280894
rs12229654-<b>G</b>,"4 x 10-25",,0.26,0.79,'-,[0.74-0.84],"LINC01405, CUX2",Hypertension,hypertension,GCST011141,12:110976657
rs11066453-<b>G</b>,"7 x 10-11",,0.26,0.79,'-,[0.74-0.85],"OAS1, AC004551.1",Hypertension,hypertension,GCST011141,12:112927816
rs2072134-<b>A</b>,"1 x 10-10",,0.26,0.78,'-,[0.73-0.84],"AC004551.1, OAS3",Hypertension,hypertension,GCST011141,12:112971371
rs17249754-<b>A</b>,"4 x 10-9",,0.27,0.87,'-,[0.83-0.91],ATP2B1,Hypertension,hypertension,GCST011141,12:89666809
rs12413409-<b>A</b>,"5 x 10-9",,0.39,0.85,'-,[0.81-0.9],CNNM2,Hypertension,hypertension,GCST011141,10:102959339
rs16849273-<b>G</b>,"5 x 10-9",,0.39,0.87,'-,[0.83-0.91],AC016766.1,Hypertension,hypertension,GCST011141,2:164144678
rs12231049-<b>G</b>,"8 x 10-9",,0.39,0.83,'-,[0.78-0.89],MYL2,Hypertension,hypertension,GCST011141,12:110911419
rs732998-<b>C</b>,"8 x 10-9",,0.18,0.85,'-,[0.81-0.9],NT5C2,Hypertension,hypertension,GCST011141,10:103138144
rs11191548-<b>C</b>,"1 x 10-8",,0.18,0.86,'-,[0.81-0.9],CNNM2,Hypertension,hypertension,GCST011141,10:103086421
rs2681492-<b>C</b>,"2 x 10-8",,0.15,0.87,'-,[0.83-0.91],ATP2B1,Hypertension,hypertension,GCST011141,12:89619312
rs3782889-<b>G</b>,"2 x 10-8",,0.17,0.84,'-,[0.79-0.89],MYL2,Hypertension,hypertension,GCST011141,12:110912851
rs167479-<b>T</b>,"2 x 10-8",,0.16,0.88,'-,[0.84-0.92],RGL3,Hypertension,hypertension,GCST011141,19:11416089
rs112735431-<b>A</b>,"3 x 10-8",,0.17,1.91,'-,[1.52-2.41],"RNF213, RNF213-AS1",Hypertension,hypertension,GCST011141,17:80385145
rs1799998-<b>G</b>,"3 x 10-8",,0.18,0.87,'-,[0.83-0.91],"LY6E-DT, CYP11B2",Hypertension,hypertension,GCST011141,8:142918184
rs11191580-<b>C</b>,"3 x 10-8",,0.13,0.86,'-,[0.82-0.91],NT5C2,Hypertension,hypertension,GCST011141,10:103146454
rs7136259-<b>T</b>,"5 x 10-8",,0.12,0.88,'-,[0.84-0.92],ATP2B1,Hypertension,hypertension,GCST011141,12:89687411
rs991316-<b>T</b>,"5 x 10-6",,0.45,1.62,'-,[NR],"ADH1B, ADH7",Hypertension,hypertension,GCST000447,4:99401288
rs1550576-<b>?</b>,"3 x 10-6",,0.86,1.92,'-,[NR],"ALDH1A2, POLR2M",Hypertension,hypertension,GCST000447,15:57921216
"rs13420028-<b>A</b> x rs10188442-<b>A</b>","1 x 10-10",,NR,'-,'-,'-,"GPR39 x GPR39","Hypertension (SNP x SNP interaction)",hypertension,GCST001085,2:132430533|2:132431666
