"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs78896587-<b>T</b>,"1 x 10-9",,'-,'-,"0.20937194 unit decrease",[0.14-0.28],"H19, IGF2","Type 1 diabetes","type I diabetes mellitus",GCST90000529,11:2055620
rs10974438-<b>C</b>,"1 x 10-6",,'-,'-,"0.12805976 unit increase",[0.076-0.18],GLIS3,"Type 1 diabetes","type I diabetes mellitus",GCST90000529,9:4291928
rs2269247-<b>T</b>,"2 x 10-6",,'-,'-,"0.13817546 unit increase",[0.081-0.195],PGM1,"Type 1 diabetes","type I diabetes mellitus",GCST90000529,1:63641613
rs56337234-<b>T</b>,"4 x 10-6",,'-,'-,"0.1142075 unit increase",[0.066-0.163],"FGFR3, TACC3","Type 1 diabetes","type I diabetes mellitus",GCST90000529,4:1782676
rs111821448-<b>C</b>,"5 x 10-6",,0.972,'-,"0.164 unit increase",[0.093-0.235],PHLDB2,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,3:111874722
rs139881548-<b>C</b>,"7 x 10-6",,0.984,'-,"0.222 unit increase",[0.13-0.32],GABRA2,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,4:46372280
rs34740712-<b>C</b>,"5 x 10-6",,0.104,'-,"0.088 unit decrease",[0.051-0.125],TLL1,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,4:165916328
rs4513644-<b>T</b>,"8 x 10-7",,0.794,'-,"0.067 unit increase",[0.04-0.094],"LINC02225, AC106822.1","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,5:57837318
rs78824139-<b>C</b>,"9 x 10-6",,0.986,'-,"0.294 unit increase",[0.16-0.42],EYS,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:64748694
rs6461299-<b>C</b>,"2 x 10-6",,0.422,'-,"0.078 unit decrease",[0.047-0.109],"AC073332.1, AHR","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,7:17147155
rs10255565-<b>C</b>,"1 x 10-6",,0.154,'-,"0.086 unit decrease",[0.051-0.121],HECW1,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,7:43408191
rs35766765-<b>G</b>,"3 x 10-6",,0.092,'-,"0.091 unit decrease",[0.054-0.128],PHF20L1,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,8:132775726
rs74629033-<b>G</b>,"5 x 10-6",,0.95,'-,"0.116 unit increase",[0.067-0.165],PLGRKT,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,9:5421234
rs10961433-<b>G</b>,"2 x 10-6",,0.867,'-,"0.079 unit increase",[0.046-0.112],NFIB,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,9:14228472
rs4837404-<b>G</b>,"5 x 10-6",,0.368,'-,"0.064 unit increase",[0.037-0.091],PTGES,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,9:129743380
rs1110458-<b>C</b>,"8 x 10-6",,0.239,'-,"0.055 unit decrease",[0.031-0.079],"HS3ST2, AC127459.2","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,16:22969144
rs2941522-<b>C</b>,"7 x 10-9",,0.575,'-,"0.069 unit decrease",[0.045-0.093],"GRB7, IKZF3","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,17:39754115
rs10258381-<b>G</b>,"5 x 10-6",,0.049,'-,"0.119 unit decrease",[0.068-0.17],AC004936.1,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,7:10057028
rs116020851-<b>C</b>,"3 x 10-7",,0.971,'-,"0.182 unit increase",[0.11-0.25],"SFTA2, HCG21","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:30954755
rs9501130-<b>G</b>,"2 x 10-11",,0.822,'-,"0.099 unit increase",[0.07-0.128],AL645933.5,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,6:31449679
rs17407280-<b>C</b>,"7 x 10-6",,0.777,'-,"0.058 unit increase",[0.033-0.083],"AL663074.2, KIF17","Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,1:20693912
rs10919543-<b>G</b>,"6 x 10-6",,0.346,'-,"0.055 unit decrease",[0.031-0.079],AL590385.2,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,1:161538827
rs7524087-<b>G</b>,"8 x 10-6",,0.019,'-,"0.285 unit increase",[0.16-0.41],LINC02771,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,1:212470318
rs77155259-<b>G</b>,"2 x 10-6",,0.944,'-,"0.142 unit increase",[0.083-0.201],SLC4A10,"Type 1 diabetes (age at diagnosis)","type I diabetes mellitus, age at diagnosis",GCST011773,2:161647730
rs2304256-<b>C</b>,"4 x 10-9",,0.71,1.16,'-,[1.11-1.22],TYK2,"Type 1 diabetes","type I diabetes mellitus",GCST000539,19:10364976
rs941576-<b>A</b>,"1 x 10-10",,0.57,1.11,'-,[1.06-1.16],"AL117190.2, AL117190.1, MEG3","Type 1 diabetes","type I diabetes mellitus",GCST000539,14:100839708
rs9273368-<b>G</b>,"8 x 10-40",,0.35,2.99,'-,[2.60-3.91],"HLA-DQA1, HLA-DQB1","Latent autoimmune diabetes vs. type 1 diabetes","type I diabetes mellitus, latent autoimmune diabetes in adults",GCST007247,6:32658698
rs705705-<b>C</b>,"4 x 10-32",,0.34,1.25,'-,'-,"RPS26, AC034102.3","Type 1 diabetes","type I diabetes mellitus",GCST005536,12:56041720
rs653178-<b>C</b>,"2 x 10-44",,0.48,1.3,'-,'-,ATXN2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,12:111569952
rs3024505-<b>G</b>,"6 x 10-8",,0.84,1.1627907,'-,'-,"IL10, AL591846.1","Type 1 diabetes","type I diabetes mellitus",GCST005536,1:206766559
rs1456988-<b>G</b>,"3 x 10-8",,0.27,1.12,'-,'-,"AL163932.1, LINC01550","Type 1 diabetes","type I diabetes mellitus",GCST005536,14:98021670
rs56994090-<b>T</b>,"1 x 10-11",,0.59,1.1363636,'-,'-,"AL117190.2, MEG3, AL117190.1","Type 1 diabetes","type I diabetes mellitus",GCST005536,14:100840110
rs72727394-<b>T</b>,"4 x 10-10",,0.19,1.15,'-,'-,RASGRP1,"Type 1 diabetes","type I diabetes mellitus",GCST005536,15:38554821
rs34593439-<b>G</b>,"9 x 10-14",,0.9,1.2820514,'-,'-,CTSH,"Type 1 diabetes","type I diabetes mellitus",GCST005536,15:78942615
rs151234-<b>C</b>,"5 x 10-11",,0.12,1.19,'-,'-,CLN3,"Type 1 diabetes","type I diabetes mellitus",GCST005536,16:28494339
rs12927355-<b>C</b>,"3 x 10-22",,0.68,1.2195122,'-,'-,CLEC16A,"Type 1 diabetes","type I diabetes mellitus",GCST005536,16:11100914
rs193778-<b>G</b>,"4 x 10-10",,0.25,1.14,'-,'-,RMI2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,16:11257354
rs8056814-<b>A</b>,"3 x 10-19",,0.07,1.32,'-,'-,"CTRB2, CTRB1","Type 1 diabetes","type I diabetes mellitus",GCST005536,16:75218429
rs12453507-<b>G</b>,"1 x 10-8",,0.51,1.1111112,'-,'-,"ZPBP2, GSDMB","Type 1 diabetes","type I diabetes mellitus",GCST005536,17:39896954
rs757411-<b>T</b>,"1 x 10-7",,0.64,1.1111112,'-,'-,"AC004585.2, SMARCE1","Type 1 diabetes","type I diabetes mellitus",GCST005536,17:40618898
rs1052553-<b>A</b>,"8 x 10-8",,0.76,1.1235955,'-,'-,MAPT,"Type 1 diabetes","type I diabetes mellitus",GCST005536,17:45996523
rs1893217-<b>G</b>,"1 x 10-15",,0.16,1.21,'-,'-,PTPN2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,18:12809341
rs12971201-<b>G</b>,"2 x 10-6","(conditioned on rs1893217)",0.61,1.1235955,'-,'-,PTPN2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,18:12830539
rs1615504-<b>T</b>,"2 x 10-11",,0.47,1.13,'-,'-,CD226,"Type 1 diabetes","type I diabetes mellitus",GCST005536,18:69859408
rs34536443-<b>G</b>,"4 x 10-15",,0.96,1.4925373,'-,'-,TYK2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,19:10352442
rs12720356-<b>A</b>,"4 x 10-7","(conditioned on rs34536443)",0.91,1.2195122,'-,'-,TYK2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,19:10359299
rs402072-<b>T</b>,"5 x 10-8",,0.84,1.1494253,'-,'-,PRKD2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,19:46715865
rs41295121-<b>C</b>,"5 x 10-8","(conditioned rs61839660, rs10795791)",0.99,2.0408163,'-,'-,"RPL32P23, RBM17","Type 1 diabetes","type I diabetes mellitus",GCST005536,10:6087680
rs12416116-<b>C</b>,"4 x 10-15",,0.72,1.1764705,'-,'-,RNLS,"Type 1 diabetes","type I diabetes mellitus",GCST005536,10:88275897
rs689-<b>T</b>,"1 x 10-100",,0.7,2.3809524,'-,'-,"INS-IGF2, INS","Type 1 diabetes","type I diabetes mellitus",GCST005536,11:2160994
rs72853903-<b>C</b>,"6 x 10-10","(conditioned on rs689)",0.62,1.1764705,'-,'-,"MIR4686, ASCL2","Type 1 diabetes","type I diabetes mellitus",GCST005536,11:2177435
rs917911-<b>C</b>,"2 x 10-7",,0.36,1.1,'-,'-,CD69,"Type 1 diabetes","type I diabetes mellitus",GCST005536,12:9753255
rs2476601-<b>A</b>,"1 x 10-100",,0.09,1.89,'-,'-,"PTPN22, AL137856.1","Type 1 diabetes","type I diabetes mellitus",GCST005536,1:113834946
rs6691977-<b>C</b>,"4 x 10-8",,0.19,1.13,'-,'-,CAMSAP2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,1:200845831
rs9585056-<b>C</b>,"3 x 10-8",,0.24,1.12,'-,'-,AL136961.1,"Type 1 diabetes","type I diabetes mellitus",GCST005536,13:99429512
rs13415583-<b>T</b>,"1 x 10-7",,0.65,1.1111112,'-,'-,AFF3,"Type 1 diabetes","type I diabetes mellitus",GCST005536,2:100147625
rs4849135-<b>G</b>,"4 x 10-8",,0.71,1.1235955,'-,'-,ACOXL,"Type 1 diabetes","type I diabetes mellitus",GCST005536,2:110857502
rs2111485-<b>G</b>,"4 x 10-18",,0.61,1.1764705,'-,'-,"IFIH1, FAP","Type 1 diabetes","type I diabetes mellitus",GCST005536,2:162254026
rs35667974-<b>T</b>,"9 x 10-9","(conditioned on rs2111485)",0.98,1.6949153,'-,'-,IFIH1,"Type 1 diabetes","type I diabetes mellitus",GCST005536,2:162268127
rs72871627-<b>A</b>,"2 x 10-6","(conditioned rs2111485, rs35667974)",0.99,1.6393442,'-,'-,IFIH1,"Type 1 diabetes","type I diabetes mellitus",GCST005536,2:162280432
rs3087243-<b>G</b>,"7 x 10-21",,0.55,1.1904762,'-,'-,"CTLA4, ICOS","Type 1 diabetes","type I diabetes mellitus",GCST005536,2:203874196
rs113010081-<b>T</b>,"5 x 10-8",,0.89,1.1764705,'-,'-,"LINC02009, CCRL2","Type 1 diabetes","type I diabetes mellitus",GCST005536,3:46415921
rs75793288-<b>G</b>,"6 x 10-13",,0.36,1.15,'-,'-,KIAA1109,"Type 1 diabetes","type I diabetes mellitus",GCST005536,4:122322441
rs2611215-<b>A</b>,"2 x 10-11",,0.15,1.18,'-,'-,AC080079.2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,4:165653115
rs11954020-<b>G</b>,"4 x 10-8",,0.39,1.11,'-,'-,"AC112204.3, IL7R","Type 1 diabetes","type I diabetes mellitus",GCST005536,5:35883149
rs72928038-<b>A</b>,"6 x 10-14",,0.17,1.2,'-,'-,BACH2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,6:90267049
rs1538171-<b>G</b>,"7 x 10-10",,0.45,1.12,'-,'-,AL356534.1,"Type 1 diabetes","type I diabetes mellitus",GCST005536,6:126431738
rs62447205-<b>A</b>,"3 x 10-8",,0.72,1.1235955,'-,'-,"AC124014.1, IKZF1","Type 1 diabetes","type I diabetes mellitus",GCST005536,7:50398132
rs10277986-<b>A</b>,"1 x 10-7",,0.96,1.3157895,'-,'-,AC004830.2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,7:50961290
rs6476839-<b>T</b>,"1 x 10-9",,0.4,1.12,'-,'-,GLIS3,"Type 1 diabetes","type I diabetes mellitus",GCST005536,9:4290823
rs61839660-<b>C</b>,"3 x 10-39",,0.9,1.6129031,'-,'-,IL2RA,"Type 1 diabetes","type I diabetes mellitus",GCST005536,10:6052734
rs10795791-<b>G</b>,"6 x 10-11","(conditioned rs61839660)",0.41,1.16,'-,'-,"IL2RA, RPL32P23","Type 1 diabetes","type I diabetes mellitus",GCST005536,10:6066377
rs516246-<b>T</b>,"5 x 10-14",,0.51,1.1494253,'-,'-,FUT2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,19:48702915
rs6043409-<b>G</b>,"3 x 10-10",,0.65,1.1363636,'-,'-,"SIRPG, SIRPG-AS1","Type 1 diabetes","type I diabetes mellitus",GCST005536,20:1635560
rs11203202-<b>G</b>,"1 x 10-15",,0.33,1.16,'-,'-,UBASH3A,"Type 1 diabetes","type I diabetes mellitus",GCST005536,21:42405248
rs6518350-<b>A</b>,"1 x 10-7",,0.82,1.1363636,'-,'-,"AP001057.1, GATD3A","Type 1 diabetes","type I diabetes mellitus",GCST005536,21:44201934
rs4820830-<b>C</b>,"1 x 10-12",,0.38,1.14,'-,'-,HORMAD2,"Type 1 diabetes","type I diabetes mellitus",GCST005536,22:30135102
rs229533-<b>C</b>,"2 x 10-8",,0.43,1.11,'-,'-,C1QTNF6,"Type 1 diabetes","type I diabetes mellitus",GCST005536,22:37191071
rs3842727-<b>A</b>,"3 x 10-7",,0.716,1.9841269,'-,'-,"TH, INS","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type I diabetes mellitus, carrier status",GCST006196,11:2163618
rs73043122-<b>C</b>,"4 x 10-6",,0.013,3.351,'-,'-,Z94721.1,"Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type I diabetes mellitus, carrier status",GCST006196,6:166969779
rs113306148-<b>A</b>,"3 x 10-6",,0.013,3.067,'-,'-,PLEKHA1,"Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type I diabetes mellitus, carrier status",GCST006196,10:122400322
rs10831551-<b>C</b>,"5 x 10-6",,0.048,2.219,'-,'-,"ASCL2, MIR4686","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type I diabetes mellitus, carrier status",GCST006196,11:2217058
rs428595-<b>A</b>,"2 x 10-6",,0.011,3.424,'-,'-,"AP000553.2, AP000553.1","Type 1 diabetes in high risk HLA genotype individuals (time to event)","disease free survival, type I diabetes mellitus, carrier status",GCST006196,22:21662102
rs6679677-<b>A</b>,"2 x 10-6","(any IA)",0.114,1.46,'-,'-,"PHTF1, RSBN1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,1:113761186
rs3184504-<b>A</b>,"4 x 10-7","(any IA)",0.462,1.35,'-,'-,"ATXN2, SH2B3","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,12:111446804
rs428595-<b>A</b>,"1 x 10-6","(any IA)",0.011,2.47,'-,'-,"AP000553.2, AP000553.1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,22:21662102
rs6679677-<b>A</b>,"2 x 10-6",(multiple-IA),0.114,1.592,'-,'-,"PHTF1, RSBN1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,1:113761186
rs3842727-<b>A</b>,"1 x 10-7",(multiple-IA),0.716,1.6638935,'-,'-,"TH, INS","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,11:2163618
rs11705721-<b>G</b>,"9 x 10-6",(multiple-IA),0.321,1.41,'-,'-,PXK,"Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,3:58414687
rs28600853-<b>G</b>,"6 x 10-6",(IAA-first),0.011,3.233,'-,'-,"AL592464.3, AL589702.1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,1:2863195
rs3842727-<b>A</b>,"6 x 10-6",(IAA-first),0.716,1.7513134,'-,'-,"TH, INS","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,11:2163618
rs9934817-<b>G</b>,"8 x 10-6",(GADA-first),0.019,2.663,'-,'-,"AC009135.1, RBFOX1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement",GCST006197,16:6086218
rs7533564-<b>C</b>,"2 x 10-9",,'-,'-,"0.138 unit increase",[0.093-0.183],"AC096531.2, PTGFR","Skin fluorescence in type 1 diabetes","skin fluorescence measurement, type I diabetes mellitus",GCST003418,1:78360228
rs11725853-<b>A</b>,"8 x 10-7",,0.15,'-,"0.11 unit increase",[0.07-0.16],GLRA3,"Urinary albumin excretion rate in type 1 diabetes","type I diabetes mellitus, urinary albumin excretion rate",GCST002382,4:174721548
rs2410601-<b>G</b>,"4 x 10-6",,0.47,'-,"0.08 unit increase",[0.04-0.11],PSD3,"Urinary albumin excretion rate in type 1 diabetes","type I diabetes mellitus, urinary albumin excretion rate",GCST002382,8:19065067
rs1970112-<b>C</b>,"1 x 10-8",,0.41,1.27,'-,[1.17-1.38],CDKN2B-AS1,"Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,9:22085599
rs181176493-<b>A</b>,"2 x 10-7",,0.01,3.88,'-,[2.33-6.47],"RN7SL807P, HIGD1AP4","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,2:223293148
rs70962766-<b>C</b>,"5 x 10-7",,0.99,0.2,'-,[0.11-0.37],"B3GNT2, AC018462.2","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,2:62179865
rs138181578-<b>AT</b>,"7 x 10-7",,0.99,0.18,'-,[0.09-0.35],"RUNX2, CLIC5","Coronary artery disease in type 1 diabetes","type I diabetes mellitus, coronary artery disease",GCST011116,6:45758094
