"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs10405693-<b>?</b>,"3 x 10-14",,NR,1.3981868,'-,'-,"BCAM, NECTIN2","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44823407
rs10402271-<b>?</b>,"7 x 10-14",,NR,1.3904976,'-,'-,"BCAM, NECTIN2","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44825957
rs8103315-<b>?</b>,"4 x 10-6",,NR,1.3527919,'-,'-,BCL3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44750911
rs2298369-<b>?</b>,"3 x 10-7",(females),NR,1.3267368,'-,'-,"MRPL39, AP000223.1","Alzheimer's disease","Alzheimer's disease",GCST007600,21:25583969
rs10953322-<b>?</b>,"5 x 10-6",,NR,1.3187115,'-,'-,"SERPINE1, TRIM56","Alzheimer's disease","Alzheimer's disease",GCST007600,7:101103377
rs6838792-<b>?</b>,"2 x 10-6",(females),NR,1.2961394,'-,'-,STK32B,"Alzheimer's disease","Alzheimer's disease",GCST007600,4:5096839
rs2298369-<b>?</b>,"4 x 10-7",,NR,1.2475969,'-,'-,"MRPL39, AP000223.1","Alzheimer's disease","Alzheimer's disease",GCST007600,21:25583969
rs4961664-<b>?</b>,"4 x 10-6",,NR,1.2335871,'-,'-,"CCDC171, C9orf92","Alzheimer's disease","Alzheimer's disease",GCST007600,9:16161235
rs10794342-<b>?</b>,"4 x 10-6",,NR,1.2132727,'-,'-,AP2A2,"Alzheimer's disease","Alzheimer's disease",GCST007600,11:924904
rs6859-<b>A</b>,"6 x 10-13",(females),0.42469,1.570301,'-,[1.39-1.75],NECTIN2,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44878777
rs7259620-<b>G</b>,"6 x 10-16",(females),0.568643,1.665856,'-,[1.47-1.86],"APOE, TOMM40","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44904531
rs1160985-<b>C</b>,"4 x 10-16",(females),0.564781,1.669499,'-,[1.48-1.86],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44900155
rs1172922-<b>A</b>,"5 x 10-6",(females),0.117523,1.407788,'-,[1.22-1.6],"OR7E109P, DIRAS2","Alzheimer's disease","Alzheimer's disease",GCST007600,9:90726252
rs405509-<b>T</b>,"4 x 10-14",(females),0.49585,1.596079,'-,[1.41-1.78],"APOE, TOMM40","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44905579
rs769450-<b>G</b>,"3 x 10-13",(females),0.614728,1.604012,'-,[1.41-1.79],APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44907187
rs8106922-<b>A</b>,"6 x 10-14",(females),0.618134,1.62673,'-,[1.43-1.82],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44898409
rs7412-<b>C</b>,"1 x 10-7",(females),0.9279,2.065872,'-,[1.58-2.55],APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44908822
rs1160985-<b>C</b>,"3 x 10-8",(males),0.563262,1.629703,'-,[1.37-1.89],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44900155
rs405509-<b>T</b>,"1 x 10-8",(males),0.498083,1.640389,'-,[1.38-1.9],"APOE, TOMM40","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44905579
rs6859-<b>A</b>,"1 x 10-9",(males),0.433641,1.677747,'-,[1.42-1.94],NECTIN2,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44878777
rs7259620-<b>G</b>,"2 x 10-9",(males),0.567196,1.700015,'-,[1.43-1.97],"APOE, TOMM40","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44904531
rs5969117-<b>C</b>,"1 x 10-6",(males),0.295488,1.490488,'-,[1.27-1.71],"AL590229.1, Z96811.1","Alzheimer's disease","Alzheimer's disease",GCST007600,X:87181248
rs769450-<b>G</b>,"2 x 10-7",(males),0.610827,1.600702,'-,[1.34-1.86],APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44907187
rs8106922-<b>A</b>,"6 x 10-8",(males),0.611921,1.6359,'-,[1.37-1.9],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44898409
rs10426423-<b>C</b>,"3 x 10-6",,0.620314,1.265674,'-,[1.15-1.38],"NECTIN2, BCAM","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44844996
rs1871047-<b>A</b>,"2 x 10-6",,0.619781,1.270037,'-,[1.15-1.39],NECTIN2,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44848489
rs440277-<b>G</b>,"2 x 10-7",,0.691681,1.321105,'-,[1.19-1.45],NECTIN2,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44857967
rs769450-<b>G</b>,"6 x 10-19",,0.61311,1.59501,'-,[1.44-1.75],APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44907187
rs6859-<b>A</b>,"2 x 10-21",,0.428373,1.599071,'-,[1.45-1.75],NECTIN2,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44878777
rs405509-<b>T</b>,"2 x 10-21",,0.496776,1.613847,'-,[1.46-1.77],"APOE, TOMM40","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44905579
rs8106922-<b>A</b>,"2 x 10-20",,0.615581,1.624312,'-,[1.47-1.78],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44898409
rs1160985-<b>C</b>,"1 x 10-22",,0.564132,1.653124,'-,[1.49-1.81],TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44900155
rs7259620-<b>G</b>,"2 x 10-23",,0.568042,1.6754,'-,[1.51-1.84],"APOE, TOMM40","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44904531
rs7412-<b>C</b>,"4 x 10-13",,0.928632,2.214072,'-,[1.79-2.64],APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44908822
rs35242772-<b>C</b>,"1 x 10-6",,0.356238,1.230973,'-,[1.13-1.33],"AC117569.2, AC115100.1","Alzheimer's disease","Alzheimer's disease",GCST007600,18:30214382
rs912322-<b>A</b>,"1 x 10-6",,0.73251,1.259729,'-,[1.15-1.37],MYO16,"Alzheimer's disease","Alzheimer's disease",GCST007600,13:109155938
rs283814-<b>G</b>,"9 x 10-6",,0.933446,1.588872,'-,[1.3-1.88],"NECTIN2, AC011481.2","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44885967
rs77657034-<b>G</b>,"5 x 10-6",,0.9924,6.912992,'-,[3.02-10.81],MAP4K4,"Alzheimer's disease","Alzheimer's disease",GCST007600,2:101857264
rs483082-<b>?</b>,"1 x 10-37",(females),0.734105,2.6149259,'-,'-,AC011481.3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44912921
rs283815-<b>?</b>,"9 x 10-23",(males),0.753336,2.794014,'-,'-,"NECTIN2, AC011481.2","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44887076
rs483082-<b>?</b>,"1 x 10-62",,0.738441,2.6436493,'-,'-,AC011481.3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44912921
rs157582-<b>?</b>,"2 x 10-35",(females),NR,2.6219604,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892962
rs12450778-<b>?</b>,"2 x 10-6",(females),NR,2.4201357,'-,'-,"EPOP, SRCIN1","Alzheimer's disease","Alzheimer's disease",GCST007600,17:38658216
rs7561207-<b>?</b>,"4 x 10-6",(females),NR,2.1267998,'-,'-,ANTXR1,"Alzheimer's disease","Alzheimer's disease",GCST007600,2:69138666
rs12450778-<b>?</b>,"2 x 10-6",,NR,2.0929258,'-,'-,"EPOP, SRCIN1","Alzheimer's disease","Alzheimer's disease",GCST007600,17:38658216
rs157580-<b>?</b>,"4 x 10-9",(males),NR,1.7230357,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892009
rs157580-<b>?</b>,"4 x 10-23",,NR,1.7063565,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892009
rs157580-<b>?</b>,"6 x 10-14",(females),NR,1.6891578,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892009
rs76252969-<b>?</b>,"5 x 10-6",,NR,1.68319,'-,'-,AP001341.1,"Alzheimer's disease","Alzheimer's disease",GCST007600,21:25277446
rs2282079-<b>?</b>,"4 x 10-6",,NR,1.6799409,'-,'-,"AL161781.1, PAX5","Alzheimer's disease","Alzheimer's disease",GCST007600,9:37036250
rs8103315-<b>?</b>,"2 x 10-6",(males),NR,1.6666555,'-,'-,BCL3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44750911
rs9862849-<b>?</b>,"3 x 10-6",(males),NR,1.6597484,'-,'-,"AC098969.2, AC020655.1","Alzheimer's disease","Alzheimer's disease",GCST007600,3:66855351
rs62402815-<b>?</b>,"4 x 10-7",(females),NR,1.6387721,'-,'-,LNC-LBCS,"Alzheimer's disease","Alzheimer's disease",GCST007600,6:19350484
rs111436800-<b>?</b>,"5 x 10-6",,NR,1.6282058,'-,'-,"AP000459.2, AP000459.1","Alzheimer's disease","Alzheimer's disease",GCST007600,21:23456358
rs11969759-<b>?</b>,"2 x 10-6",(females),NR,1.6222337,'-,'-,TNXB,"Alzheimer's disease","Alzheimer's disease",GCST007600,6:32053353
rs405697-<b>?</b>,"1 x 10-13",,NR,1.5548013,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44901434
rs405697-<b>?</b>,"1 x 10-8",(females),NR,1.5508373,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44901434
rs584007-<b>?</b>,"2 x 10-9",(females),NR,1.5096664,'-,'-,AC011481.3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44913221
rs439401-<b>?</b>,"3 x 10-9",(females),NR,1.5058857,'-,'-,AC011481.3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44911194
rs1497197-<b>?</b>,"3 x 10-6",,NR,1.4972146,'-,'-,"AC243830.1, LHX1-DT","Alzheimer's disease","Alzheimer's disease",GCST007600,17:36819274
rs584007-<b>?</b>,"3 x 10-14",,NR,1.4945852,'-,'-,AC011481.3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44913221
rs439401-<b>?</b>,"6 x 10-14",,NR,1.486781,'-,'-,AC011481.3,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44911194
rs62402815-<b>?</b>,"2 x 10-6",,NR,1.4489708,'-,'-,LNC-LBCS,"Alzheimer's disease","Alzheimer's disease",GCST007600,6:19350484
rs7963314-<b>?</b>,"3 x 10-6",(females),NR,1.4279574,'-,'-,"AC073578.1, AC140063.1","Alzheimer's disease","Alzheimer's disease",GCST007600,12:131573284
rs10405693-<b>?</b>,"1 x 10-9",(females),NR,1.4069744,'-,'-,"BCAM, NECTIN2","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44823407
rs10402271-<b>?</b>,"2 x 10-9",(females),NR,1.4007349,'-,'-,"BCAM, NECTIN2","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44825957
rs2233083-<b>?</b>,"1 x 10-6",,NR,7.2292986,'-,'-,MAPK7,"Alzheimer's disease","Alzheimer's disease",GCST007600,17:19383150
rs77104831-<b>?</b>,"2 x 10-6",(males),NR,4.27716,'-,'-,FBXL13,"Alzheimer's disease","Alzheimer's disease",GCST007600,7:102911421
rs429358-<b>?</b>,"2 x 10-91",,NR,3.9972339,'-,'-,APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44908684
rs429358-<b>?</b>,"1 x 10-53",(females),NR,3.921738,'-,'-,APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44908684
rs769449-<b>?</b>,"7 x 10-30",(males),NR,3.921353,'-,'-,APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44906745
rs769449-<b>?</b>,"2 x 10-83",,NR,3.8717523,'-,'-,APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44906745
rs429358-<b>?</b>,"3 x 10-31",(males),NR,3.8628085,'-,'-,APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44908684
rs769449-<b>?</b>,"6 x 10-47",(females),NR,3.7354689,'-,'-,APOE,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44906745
rs73165159-<b>?</b>,"3 x 10-6",(males),NR,3.3545792,'-,'-,"CENPM, LINC00634","Alzheimer's disease","Alzheimer's disease",GCST007600,22:41950038
rs4420638-<b>?</b>,"2 x 10-24",(males),NR,3.3425252,'-,'-,"APOC1P1, APOC1","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44919689
rs56131196-<b>?</b>,"3 x 10-24",(males),NR,3.3117516,'-,'-,"APOC1, APOC1P1","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44919589
rs71352238-<b>?</b>,"2 x 10-25",(males),NR,3.295186,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44891079
rs2075650-<b>?</b>,"8 x 10-26",(males),NR,3.2904043,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892362
rs56131196-<b>?</b>,"6 x 10-77",,NR,3.2625577,'-,'-,"APOC1, APOC1P1","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44919589
rs4420638-<b>?</b>,"9 x 10-77",,NR,3.2591338,'-,'-,"APOC1P1, APOC1","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44919689
rs2075650-<b>?</b>,"2 x 10-71",,NR,3.2239969,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892362
rs56131196-<b>?</b>,"4 x 10-48",(females),NR,3.2052002,'-,'-,"APOC1, APOC1P1","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44919589
rs4420638-<b>?</b>,"8 x 10-48",(females),NR,3.1868043,'-,'-,"APOC1P1, APOC1","Alzheimer's disease","Alzheimer's disease",GCST007600,19:44919689
rs71352238-<b>?</b>,"7 x 10-69",,NR,3.181876,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44891079
rs2075650-<b>?</b>,"1 x 10-39",(females),NR,3.1072497,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892362
rs71352238-<b>?</b>,"6 x 10-38",(females),NR,3.0343766,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44891079
rs116593898-<b>?</b>,"3 x 10-6",,NR,3.0120482,'-,'-,SFT2D2,"Alzheimer's disease","Alzheimer's disease",GCST007600,1:168232648
rs157582-<b>?</b>,"1 x 10-23",(males),NR,2.8279662,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892962
rs157582-<b>?</b>,"4 x 10-63",,NR,2.7341528,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST007600,19:44892962
rs34925435-<b>?</b>,"5 x 10-6",(males),NR,2.7270248,'-,'-,"TMCC1-AS1, AC083906.3","Alzheimer's disease","Alzheimer's disease",GCST007600,3:129947221
rs2573905-<b>?</b>,"2 x 10-7",,0.46,1.29,'-,[1.17-1.42],PCDH11X,"Alzheimer's disease","Alzheimer's disease",GCST000315,X:92147221
rs6859-<b>A</b>,"6 x 10-14",,NR,'-,'-,'-,NECTIN2,"Alzheimer's disease","Alzheimer's disease",GCST000237,19:44878777
rs727153-<b>C</b>,"3 x 10-6",,0.52,1.63,'-,[1.37-1.95],LRAT,"Alzheimer's disease","Alzheimer's disease",GCST000237,4:154733269
rs4420638-<b>?</b>,"1 x 10-39",,NR,'-,'-,'-,"APOC1P1, APOC1","Alzheimer's disease","Alzheimer's disease",GCST000121,19:44919689
rs4420638-<b>?</b>,"1 x 10-39",,NR,4.01,'-,[NR],"APOC1P1, APOC1","Alzheimer's disease (late onset)","Alzheimer's disease",GCST000018,19:44919689
rs4509693-<b>?</b>,"6 x 10-6",,0.18,'-,'-,'-,PAX2,"Alzheimer's disease","Alzheimer's disease",GCST000484,10:100741814
rs7539409-<b>?</b>,"1 x 10-6",,0.18,'-,'-,'-,LINC01725,"Alzheimer's disease","Alzheimer's disease",GCST000484,1:83789052
rs9390537-<b>?</b>,"8 x 10-6",,0.22,'-,'-,'-,"AL359382.1, AL445123.1","Alzheimer's disease","Alzheimer's disease",GCST000484,6:148102235
rs690705-<b>?</b>,"6 x 10-7",,0.25,'-,'-,'-,"VDAC1P12, AL160394.2","Alzheimer's disease","Alzheimer's disease",GCST000484,13:34080781
rs2075650-<b>?</b>,"3 x 10-11",,0.15,'-,'-,'-,TOMM40,"Alzheimer's disease","Alzheimer's disease",GCST000484,19:44892362
rs4676049-<b>A</b>,"4 x 10-8",,0.08,1.76,'-,[1.44-2.15],"AC133109.1, EDAR","Alzheimer's disease (late onset)","Alzheimer's disease",GCST000808,2:109018801
