"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs186696265-<b>T</b>,"1 x 10-12",,0.01809,'-,"12.07 (nmol/min/ml) increase",[8.76-15.38],"AL109933.2, AL109933.1","Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,6:160690668
rs7412-<b>T</b>,"8 x 10-78",,0.06071,'-,"17.11 (nmol/min/ml) decrease",[15.31-18.91],APOE,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,19:44908822
rs57578064-<b>A</b>,"1 x 10-8",,0.009,'-,"32.49 (nmol/min/ml) increase",[21.28-43.7],"AL513165.2, AL138752.2, TOMM5","Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,9:37590253
rs189889864-<b>A</b>,"9 x 10-9",,0.0002,'-,"91.81 (nmol/min/ml) increase",[60.53-123.09],"OR13I1P, OR13C1P","Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,9:104634643
rs328-<b>G</b>,"2 x 10-6",,0.092,'-,"3.7 (nmol/min/ml) decrease",[2.19-5.21],LPL,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,8:19962213
rs6511720-<b>T</b>,"2 x 10-6",,0.083,'-,"3.75 (nmol/min/ml) decrease",[2.20-5.30],LDLR,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,19:11091630
rs117714106-<b>T</b>,"2 x 10-6",,0.007,'-,'-,'-,"MTCYBP27, RNU6-976P","Myocardial infarction in cardiovascular disease (time to event) (darapladib treatment interaction)","response to darapladib, acute coronary syndrome, myocardial infarction, coronary artery disease",GCST004959,14:84338144
rs7528419-<b>G</b>,"8 x 10-9",,0.17701,'-,"0.4227 unit decrease",[-0.5965-1.4419],CELSR2,"Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease","response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary artery disease",GCST004966,1:109274570
rs76863441-<b>A</b>,"8 x 10-47",,0.01019,'-,"0.2355 unit decrease",[-4.3313-4.8023],PLA2G7,"Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease","response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary artery disease",GCST004966,6:46709361
rs7412-<b>T</b>,"2 x 10-27",,0.06071,'-,"0.04 unit decrease",[-1.5672-1.6472],APOE,"Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease","response to darapladib, acute coronary syndrome, lipoprotein-associated phospholipase A(2) change measurement, coronary artery disease",GCST004966,19:44908822
rs138741635-<b>A</b>,"3 x 10-8",,0.019,2.02,'-,[1.59-2.56],FHIT,"Major coronary event in placebo-treated cardiovascular disease (time to event)","acute coronary syndrome, cardiovascular event measurement, coronary artery disease, response to placebo",GCST004961,3:60942161
rs147204125-<b>G</b>,"2 x 10-8",,0.008,2.86,'-,[1.96-4.17],AC005225.2,"Major coronary event in placebo-treated cardiovascular disease (time to event)","acute coronary syndrome, cardiovascular event measurement, coronary artery disease, response to placebo",GCST004961,14:73609035
rs201052613-<b>?</b>,"4 x 10-9",,0.012,3.21,'-,[2.17-4.76],AL031599.1,"Myocardial infarction in darapladib-treated cardiovascular disease (time to event)","response to darapladib, acute coronary syndrome, myocardial infarction, coronary artery disease",GCST004964,1:173026503
rs117714106-<b>T</b>,"5 x 10-10",,0.007,3.79,'-,[2.5-5.88],"MTCYBP27, RNU6-976P","Myocardial infarction in darapladib-treated cardiovascular disease (time to event)","response to darapladib, acute coronary syndrome, myocardial infarction, coronary artery disease",GCST004964,14:84338144
rs138741635-<b>A</b>,"2 x 10-6",,0.019,'-,'-,'-,FHIT,"Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004958,3:60942161
rs192427471-<b>T</b>,"2 x 10-6",,0.024,'-,'-,'-,"ANKRD50, LINC02516","Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004958,4:124644124
rs181937009-<b>G</b>,"1 x 10-7",,0.224,'-,'-,'-,'-,"Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004958,"Mapping not available"
rs12290663-<b>A</b>,"4 x 10-6",,0.013,'-,'-,'-,"AC024341.1, ANO3","Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004958,11:26141193
rs147204125-<b>G</b>,"2 x 10-6",,0.008,'-,'-,'-,AC005225.2,"Major coronary event in cardiovascular disease (time to event) (darapladib treatment interaction)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004958,14:73609035
rs192427471-<b>T</b>,"6 x 10-9",,0.024,2.04,'-,[1.61-2.56],"ANKRD50, LINC02516","Major coronary event in darapladib-treated cardiovascular disease (time to event)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004957,4:124644124
rs12290663-<b>A</b>,"3 x 10-8",,0.013,2.11,'-,[1.61-2.78],"AC024341.1, ANO3","Major coronary event in darapladib-treated cardiovascular disease (time to event)","response to darapladib, acute coronary syndrome, cardiovascular event measurement, coronary artery disease",GCST004957,11:26141193
rs11057830-<b>A</b>,"7 x 10-9",,0.14991,'-,"3.67 (nmol/min/ml) increase",[2.44-4.9],SCARB1,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,12:124822507
rs12740374-<b>T</b>,"4 x 10-39",,0.17646,'-,"7.44 (nmol/min/ml) decrease",[6.32-8.56],CELSR2,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,1:109274968
rs190543502-<b>C</b>,"3 x 10-8",,0.02721,'-,"7.61 (nmol/min/ml) decrease",[4.92-10.3],TP53BP1,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,15:43464986
rs147233090-<b>T</b>,"4 x 10-8",,0.0299,'-,"7.2 (nmol/min/ml) decrease",[4.61-9.79],CATSPER2P1,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,15:43735849
rs11638352-<b>C</b>,"7 x 10-13",,0.04988,'-,"7.25 (nmol/min/ml) decrease",[5.27-9.23],FRMD5,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,15:44000939
rs2733201-<b>T</b>,"6 x 10-13",,0.07311,'-,"7.3 (nmol/min/ml) decrease",[5.32-9.28],FRMD5,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,15:44116203
rs144972973-<b>G</b>,"1 x 10-9",,0.02588,'-,"9.93 (nmol/min/ml) decrease",[6.74-13.12],"FRMD5, CASC4","Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,15:44272494
rs76863441-<b>A</b>,"1 x 10-178",,0.01019,'-,"72.79 (nmol/min/ml) decrease",[67.79-77.79],PLA2G7,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,6:46709361
rs35150895-<b>A</b>,"6 x 10-7",,0.05382,3.4485,'-,NR,"RNU6-699P, RPS23P3","Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,4:66580115
rs7784948-<b>T</b>,"2 x 10-6",,0.09338,2.5804,'-,NR,AC006148.1,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,7:124429457
rs72935945-<b>T</b>,"3 x 10-6",,0.1891,2.2328,'-,NR,METTL24,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,6:110334472
rs4714457-<b>C</b>,"5 x 10-6",,0.219,2.1262,'-,NR,"FOXP4-AS1, AL136967.2","Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,6:41410254
rs2438162-<b>A</b>,"5 x 10-6",,0.2833,2.0436,'-,NR,"AC012451.1, ISCA1P6","Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,2:128556655
rs9998058-<b>C</b>,"6 x 10-6",,0.0736,2.7108,'-,NR,PALLD,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,4:168675402
rs10421769-<b>C</b>,"6 x 10-6",,0.3275,0.4201,'-,NR,GPATCH1,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,19:33114406
rs3849111-<b>A</b>,"7 x 10-6",,0.3717,0.4318,'-,NR,EPB41L4B,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,9:109232442
rs56222681-<b>A</b>,"9 x 10-6",,0.1431,2.3036,'-,NR,AL589693.1,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,6:156157819
rs1965492-<b>C</b>,"9 x 10-6",,0.4236,1.9761,'-,NR,SCAPER,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,15:76480985
rs56076602-<b>G</b>,"9 x 10-6",,0.07774,2.7811,'-,NR,DSCAM,"Thrombosis in response to liver transplant","coronary thrombosis, GM11992",GCST011434,21:40679234
rs899162-<b>A</b>,"2 x 10-7",,0.141,3.2,'-,[2.02-5.05],"AC022092.1, NEUROG1","Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST007192,5:135459219
rs6017006-<b>A</b>,"2 x 10-8",,0.04,5,'-,[2.8-9.0],"AL031681.2, AL021395.2","Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST90013538,20:43305980
rs7871579-<b>C</b>,"5 x 10-7",,0.15,2.8,'-,[1.8-4.2],MAN1B1,"Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST90013538,9:137096078
rs2449565-<b>G</b>,"2 x 10-6",,0.61,2.3,'-,[1.6-3.3],DOCK2,"Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST90013538,5:169708658
rs10762437-<b>G</b>,"4 x 10-6",,0.16,2.5,'-,[1.7-3.8],UNC5B,"Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST90013538,10:71298712
rs35932034-<b>C</b>,"4 x 10-6",,0.11,0.2,'-,[0.09-0.4],LINC00882,"Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST90013538,3:106543458
rs1989051-<b>C</b>,"4 x 10-6",,0.57,2.2,'-,[1.6-3.1],"AC100822.1, RN7SKP226","Coronary artery aneurysm in Kawasaki disease","mucocutaneous lymph node syndrome, coronary aneurysm",GCST90013538,8:128281872
rs62471956-<b>G</b>,"1 x 10-14",,0.034,'-,"0.211 unit increase",[0.16-0.26],"CYP3A137P, CYP3A43","Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor","ticagrelor measurement, acute coronary syndrome",GCST002882,7:99823462
rs188845491-<b>C</b>,"3 x 10-12",,0.007,'-,"0.495 unit increase",[0.36-0.63],"CYP3A7-CYP3A51P, CYP3A7, CYP3A51P","Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor","ticagrelor measurement, acute coronary syndrome",GCST002882,7:99689016
rs147642358-<b>G</b>,"6 x 10-12",,0.022,'-,"0.25 unit increase",[0.18-0.32],"ARPC1A, AC004922.1","Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor","ticagrelor measurement, acute coronary syndrome",GCST002882,7:99335136
rs140607780-<b>G</b>,"3 x 10-11",,0.016,'-,"0.273 unit increase",[0.19-0.35],"NYAP1, AC069281.1","Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor","ticagrelor measurement, acute coronary syndrome",GCST002882,7:100505900
rs140104968-<b>C</b>,"4 x 10-10",,0.019,'-,"0.224 unit increase",[0.15-0.29],AC004522.4,"Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor","ticagrelor measurement, acute coronary syndrome",GCST002882,7:99946004
rs117038461-<b>C</b>,"9 x 10-10",,0.017,'-,"0.232 unit increase",[0.16-0.31],CASTOR3,"Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor","ticagrelor measurement, acute coronary syndrome",GCST002882,7:100243731
rs61361928-<b>T</b>,"8 x 10-14",,0.005,'-,"0.385 unit increase",[0.29-0.48],UGT2B7,"AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor","AR-C124910XX&nbsp;measurement, acute coronary syndrome",GCST002883,4:69096657
rs113681054-<b>T</b>,"4 x 10-13",,0.184,'-,"0.062 unit increase",[0.044-0.08],"SLCO1B1, SLCO1A2","AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor","AR-C124910XX&nbsp;measurement, acute coronary syndrome",GCST002883,12:21250045
rs1967309-<b>G</b>,"2 x 10-8",,0.55,1.54,'-,[1.32-1.79],ADCY9,"Response to Dalcetrapib treatment in acute coronary syndrome","response to dalcetrapib, acute coronary syndrome, cardiovascular event measurement",GCST002747,16:4015582
rs9349379-<b>?</b>,"9 x 10-26",,NR,'-,'-,'-,PHACTR1,"Coronary heart disease","coronary artery disease",GCST001185,6:12903725
rs17114046-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,"PLPP3, AC119674.2","Coronary heart disease","coronary artery disease",GCST001185,1:56500678
rs11556924-<b>T</b>,"1 x 10-24",,0.36,'-,"0.062 unit decrease",[0.05-0.074],"AC073320.2, ZC3HC1","Coronary artery disease","coronary artery disease",GCST005194,7:130023656
rs11591147-<b>T</b>,"2 x 10-25",,0.016,'-,"0.282 unit decrease",[0.23-0.33],PCSK9,"Coronary artery disease","coronary artery disease",GCST005194,1:55039974
rs28601761-<b>C</b>,"5 x 10-20",,0.6,'-,"0.06 unit increase",[0.046-0.074],AC091114.1,"Coronary artery disease","coronary artery disease",GCST005194,8:125487789
rs4932373-<b>A</b>,"2 x 10-25",,0.694,'-,"0.073 unit decrease",[0.059-0.087],FES,"Coronary artery disease","coronary artery disease",GCST005194,15:90886057
rs72675530-<b>A</b>,"3 x 10-6",,0.666,'-,"0.031 unit decrease",[0.017-0.045],"AL603840.1, AL353681.1","Coronary artery disease","coronary artery disease",GCST005194,1:56111674
rs17114046-<b>A</b>,"1 x 10-27",,0.907,'-,"0.107 unit increase",[0.087-0.127],"PLPP3, AC119674.2","Coronary artery disease","coronary artery disease",GCST005194,1:56500678
rs147055617-<b>A</b>,"8 x 10-14",,0.918,'-,"0.088 unit decrease",[0.064-0.112],"PLPP3, AC119674.2","Coronary artery disease","coronary artery disease",GCST005194,1:56520631
rs2128739-<b>A</b>,"6 x 10-27",,0.305,'-,"0.074 unit increase",[0.06-0.088],AP002989.1,"Coronary artery disease","coronary artery disease",GCST005194,11:103802549
rs4766578-<b>A</b>,"6 x 10-20",,0.536,'-,"0.059 unit decrease",[0.045-0.073],ATXN2,"Coronary artery disease","coronary artery disease",GCST005194,12:111466567
rs11637783-<b>T</b>,"1 x 10-30",,0.575,'-,"0.074 unit increase",[0.06-0.088],MORF4L1,"Coronary artery disease","coronary artery disease",GCST005194,15:78846658
rs17465982-<b>A</b>,"9 x 10-28",,0.682,'-,"0.079 unit increase",[0.065-0.093],MIA3,"Coronary artery disease","coronary artery disease",GCST005194,1:222664597
rs6919211-<b>C</b>,"2 x 10-7",,0.818,'-,"0.042 unit decrease",[0.026-0.058],TARID,"Coronary artery disease","coronary artery disease",GCST005194,6:133678730
rs1966248-<b>A</b>,"3 x 10-28",,0.687,'-,"0.076 unit increase",[0.062-0.09],"LINC01312, TARID","Coronary artery disease","coronary artery disease",GCST005194,6:133838484
rs965652-<b>A</b>,"1 x 10-7",,0.485,'-,"0.034 unit increase",[0.022-0.046],SLC2A12,"Coronary artery disease","coronary artery disease",GCST005194,6:134047815
rs72934535-<b>T</b>,"2 x 10-32",,0.9,'-,"0.128 unit decrease",[0.11-0.15],NBEAL1,"Coronary artery disease","coronary artery disease",GCST005194,2:203104250
rs28451064-<b>A</b>,"7 x 10-33",,0.124,'-,"0.119 unit increase",[0.099-0.139],"AP000317.2, AP000317.1","Coronary artery disease","coronary artery disease",GCST005194,21:34221526
rs149487184-<b>T</b>,"9 x 10-6",,0.023,'-,"0.101 unit increase",[0.056-0.146],"AP000317.1, AP000317.2","Coronary artery disease","coronary artery disease",GCST005194,21:34233562
rs7412-<b>T</b>,"3 x 10-39",,0.08,'-,"0.16 unit decrease",[0.14-0.18],APOE,"Coronary artery disease","coronary artery disease",GCST005194,19:44908822
rs157595-<b>A</b>,"6 x 10-6",,0.397,'-,"0.032 unit decrease",[0.018-0.046],"APOC1, APOC1P1","Coronary artery disease","coronary artery disease",GCST005194,19:44922203
rs11673093-<b>A</b>,"1 x 10-10",,0.258,'-,"0.047 unit increase",[0.033-0.061],"EXOC3L2, MARK4","Coronary artery disease","coronary artery disease",GCST005194,19:45238836
rs6511720-<b>T</b>,"5 x 10-41",,0.117,'-,"0.136 unit decrease",[0.12-0.16],LDLR,"Coronary artery disease","coronary artery disease",GCST005194,19:11091630
rs2738447-<b>A</b>,"2 x 10-8",,0.406,'-,"0.036 unit decrease",[0.022-0.05],LDLR,"Coronary artery disease","coronary artery disease",GCST005194,19:11116804
rs318719-<b>T</b>,"2 x 10-6",,0.907,'-,"0.054 unit decrease",[0.032-0.076],RGL3,"Coronary artery disease","coronary artery disease",GCST005194,19:11386305
rs12740374-<b>T</b>,"2 x 10-57",,0.219,'-,"0.124 unit decrease",[0.11-0.14],CELSR2,"Coronary artery disease","coronary artery disease",GCST005194,1:109274968
rs1629862-<b>A</b>,"2 x 10-7",,0.127,'-,"0.054 unit decrease",[0.034-0.074],EDN1,"Coronary artery disease","coronary artery disease",GCST005194,6:12295643
rs6060235-<b>A</b>,"2 x 10-7",,0.901,'-,"0.055 unit increase",[0.033-0.077],"TRPC4AP, EDEM2","Coronary artery disease","coronary artery disease",GCST005194,20:35103849
rs73225842-<b>T</b>,"2 x 10-10",,0.05,'-,"0.096 unit increase",[0.067-0.125],BMP1,"Coronary artery disease","coronary artery disease",GCST005194,8:22172552
rs12019546-<b>A</b>,"5 x 10-7",,0.256,'-,"0.038 unit increase",[0.022-0.054],MCF2L,"Coronary artery disease","coronary artery disease",GCST005194,13:113005392
rs10456100-<b>T</b>,"5 x 10-10",,0.273,'-,"0.044 unit increase",[0.03-0.058],KCNK5,"Coronary artery disease","coronary artery disease",GCST005194,6:39215694
rs7766436-<b>T</b>,"2 x 10-12",,0.288,'-,"0.048 unit increase",[0.034-0.062],CASC15,"Coronary artery disease","coronary artery disease",GCST005194,6:22598030
rs1034246-<b>T</b>,"6 x 10-8",,0.255,'-,"0.04 unit decrease",[0.026-0.054],PTK7,"Coronary artery disease","coronary artery disease",GCST005194,6:43100632
rs6905288-<b>A</b>,"2 x 10-12",,0.57,'-,"0.045 unit increase",[0.033-0.057],"AL157371.2, VEGFA","Coronary artery disease","coronary artery disease",GCST005194,6:43791136
rs2140480-<b>T</b>,"2 x 10-11",,0.281,'-,"0.047 unit increase",[0.033-0.061],"RNU6-996P, RNU6-1064P","Coronary artery disease","coronary artery disease",GCST005194,9:107763828
rs61741262-<b>T</b>,"2 x 10-8",,0.893,'-,"0.062 unit increase",[0.04-0.084],TNS1,"Coronary artery disease","coronary artery disease",GCST005194,2:217804502
rs112941127-<b>A</b>,"3 x 10-8",,0.032,'-,"0.108 unit decrease",[0.069-0.147],TNS1,"Coronary artery disease","coronary artery disease",GCST005194,2:217869242
rs10734649-<b>T</b>,"3 x 10-11",,0.477,'-,"0.044 unit increase",[0.03-0.058],"LINC02709, SBF2-AS1","Coronary artery disease","coronary artery disease",GCST005194,11:9759344
rs6740731-<b>A</b>,"4 x 10-9",,0.176,'-,"0.051 unit increase",[0.033-0.069],ZEB2,"Coronary artery disease","coronary artery disease",GCST005194,2:144513025
rs7604735-<b>T</b>,"3 x 10-12",,0.29,'-,"0.049 unit increase",[0.035-0.063],TEX41,"Coronary artery disease","coronary artery disease",GCST005194,2:145082088
rs72862334-<b>A</b>,"5 x 10-6",,0.888,'-,"0.046 unit decrease",[0.026-0.066],"METAP2P1, AC079163.2","Coronary artery disease","coronary artery disease",GCST005194,2:145825059
rs685031-<b>A</b>,"5 x 10-10",,0.646,'-,"0.043 unit increase",[0.029-0.057],C2,"Coronary artery disease","coronary artery disease",GCST005194,6:31913954
rs4762479-<b>T</b>,"7 x 10-12",,0.079,'-,"0.08 unit decrease",[0.056-0.104],FGD6,"Coronary artery disease","coronary artery disease",GCST005194,12:95101265
rs12753816-<b>T</b>,"4 x 10-7",,0.323,'-,"0.036 unit decrease",[0.022-0.05],NME7,"Coronary artery disease","coronary artery disease",GCST005194,1:169183350
rs223290-<b>T</b>,"1 x 10-11",,0.08,'-,"0.089 unit increase",[0.064-0.114],"PRIM2, RAB23","Coronary artery disease","coronary artery disease",GCST005194,6:57241914
rs7342694-<b>T</b>,"1 x 10-8",,0.398,'-,"0.037 unit increase",[0.023-0.051],PLCG2,"Coronary artery disease","coronary artery disease",GCST005194,16:81870195
rs11601507-<b>A</b>,"2 x 10-12",,0.075,'-,"0.084 unit increase",[0.06-0.108],TRIM5,"Coronary artery disease","coronary artery disease",GCST005194,11:5679844
rs17263917-<b>A</b>,"2 x 10-12",,0.143,'-,"0.066 unit decrease",[0.048-0.084],"SNHG18, AC026787.1","Coronary artery disease","coronary artery disease",GCST005194,5:9552226
rs4678145-<b>C</b>,"2 x 10-13",,0.128,'-,"0.068 unit increase",[0.05-0.086],UMPS,"Coronary artery disease","coronary artery disease",GCST005194,3:124731234
rs11170820-<b>C</b>,"1 x 10-13",,0.929,'-,"0.097 unit decrease",[0.072-0.122],"AC023794.2, FAM242C","Coronary artery disease","coronary artery disease",GCST005194,12:54120131
rs112009435-<b>A</b>,"6 x 10-13",,0.177,'-,"0.06 unit increase",[0.044-0.076],"MAP1S, FCHO1","Coronary artery disease","coronary artery disease",GCST005194,19:17736035
rs113230003-<b>A</b>,"6 x 10-6",,0.269,'-,"0.033 unit decrease",[0.019-0.047],PGPEP1,"Coronary artery disease","coronary artery disease",GCST005194,19:18350146
rs11670056-<b>T</b>,"4 x 10-12",,0.071,'-,"0.088 unit increase",[0.063-0.113],ELL,"Coronary artery disease","coronary artery disease",GCST005194,19:18479133
rs10841443-<b>C</b>,"8 x 10-14",,0.34,'-,"0.051 unit decrease",[0.037-0.065],LINC02398,"Coronary artery disease","coronary artery disease",GCST005194,12:20067099
rs7011846-<b>A</b>,"4 x 10-9",,0.035,'-,"0.113 unit increase",[0.076-0.15],LPL,"Coronary artery disease","coronary artery disease",GCST005194,8:19928145
rs15285-<b>T</b>,"8 x 10-14",,0.29,'-,"0.052 unit decrease",[0.038-0.066],LPL,"Coronary artery disease","coronary artery disease",GCST005194,8:19967156
rs10106652-<b>A</b>,"7 x 10-11",,0.273,'-,"0.048 unit decrease",[0.034-0.062],"AC100802.1, LPL","Coronary artery disease","coronary artery disease",GCST005194,8:20070649
rs701145-<b>T</b>,"4 x 10-14",,0.143,'-,"0.072 unit decrease",[0.054-0.09],"GPR149, AC134026.2","Coronary artery disease","coronary artery disease",GCST005194,3:154337010
